GeneID,Chromosome,Start,End,Strand,Length,Class,Assembly,Old_GeneID,Description,Name
SAUSA300_RS03975,NC_007793.1,820261,821371,+,1111,protein_coding,GCF_000013465.1,NA,peptide chain release factor 2,NA
SAUSA300_RS03980,NC_007793.1,821525,821632,+,108,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS03985,NC_007793.1,821780,822619,+,840,protein_coding,GCF_000013465.1,SAUSA300_0739,CHAP domain-containing protein,NA
SAUSA300_RS03990,NC_007793.1,822793,823443,+,651,protein_coding,GCF_000013465.1,SAUSA300_0740,HD domain-containing protein,NA
SAUSA300_RS03995,NC_007793.1,823440,823676,+,237,protein_coding,GCF_000013465.1,NA,CsbA family protein,NA
SAUSA300_RS04000,NC_007793.1,823945,825930,+,1986,protein_coding,GCF_000013465.1,SAUSA300_0741,excinuclease ABC subunit UvrB,uvrB
SAUSA300_RS04005,NC_007793.1,825938,828784,+,2847,protein_coding,GCF_000013465.1,SAUSA300_0742,excinuclease ABC subunit UvrA,uvrA
SAUSA300_RS04010,NC_007793.1,829446,830378,+,933,protein_coding,GCF_000013465.1,SAUSA300_0743,HPr kinase/phosphorylase,NA
SAUSA300_RS04015,NC_007793.1,830384,831223,+,840,protein_coding,GCF_000013465.1,SAUSA300_0744,prolipoprotein diacylglyceryl transferase,NA
SAUSA300_RS04020,NC_007793.1,831231,831716,+,486,protein_coding,GCF_000013465.1,SAUSA300_0745,acetyltransferase,NA
SAUSA300_RS04025,NC_007793.1,831724,833163,+,1440,protein_coding,GCF_000013465.1,SAUSA300_0746,tetratricopeptide repeat protein,NA
SAUSA300_RS04030,NC_007793.1,833230,834165,+,936,protein_coding,GCF_000013465.1,SAUSA300_0747,thioredoxin-disulfide reductase,trxB
SAUSA300_RS04040,NC_007793.1,835045,835956,+,912,protein_coding,GCF_000013465.1,SAUSA300_0748,RNase adapter RapZ,rapZ
SAUSA300_RS04045,NC_007793.1,835953,836948,+,996,protein_coding,GCF_000013465.1,SAUSA300_0749,YvcK family protein,NA
SAUSA300_RS04050,NC_007793.1,837058,838002,+,945,protein_coding,GCF_000013465.1,SAUSA300_0750,DNA-binding protein WhiA,whiA
SAUSA300_RS04060,NC_007793.1,838576,839163,+,588,protein_coding,GCF_000013465.1,SAUSA300_0752,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,NA
SAUSA300_RS04065,NC_007793.1,839406,840308,-,903,protein_coding,GCF_000013465.1,SAUSA300_0753,epimerase,NA
SAUSA300_RS04070,NC_007793.1,841010,841639,+,630,protein_coding,GCF_000013465.1,SAUSA300_0754,DUF4887 domain-containing protein,NA
SAUSA300_RS04075,NC_007793.1,842281,843294,+,1014,protein_coding,GCF_000013465.1,SAUSA300_0755,sugar-binding transcriptional regulator,NA
SAUSA300_RS04080,NC_007793.1,843347,844357,+,1011,protein_coding,GCF_000013465.1,SAUSA300_0756,type I glyceraldehyde-3-phosphate dehydrogenase,gap
SAUSA300_RS04085,NC_007793.1,844496,845686,+,1191,protein_coding,GCF_000013465.1,SAUSA300_0757,phosphoglycerate kinase,NA
SAUSA300_RS04090,NC_007793.1,845808,846569,+,762,protein_coding,GCF_000013465.1,SAUSA300_0758,triose-phosphate isomerase,NA
SAUSA300_RS04095,NC_007793.1,846572,848089,+,1518,protein_coding,GCF_000013465.1,SAUSA300_0759,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",NA
SAUSA300_RS04100,NC_007793.1,848219,849523,+,1305,protein_coding,GCF_000013465.1,SAUSA300_0760,phosphopyruvate hydratase,NA
SAUSA300_RS04105,NC_007793.1,849863,850321,+,459,protein_coding,GCF_000013465.1,SAUSA300_0761,hypothetical protein,NA
SAUSA300_RS04110,NC_007793.1,850388,850621,+,234,protein_coding,GCF_000013465.1,SAUSA300_0762,preprotein translocase subunit SecG,secG
SAUSA300_RS04115,NC_007793.1,850737,851477,+,741,protein_coding,GCF_000013465.1,SAUSA300_0763,prolyl oligopeptidase family serine peptidase,NA
SAUSA300_RS04120,NC_007793.1,851511,853883,+,2373,protein_coding,GCF_000013465.1,SAUSA300_0764,ribonuclease R,rnr
SAUSA300_RS04125,NC_007793.1,853905,854369,+,465,protein_coding,GCF_000013465.1,SAUSA300_0765,SsrA-binding protein SmpB,smpB
SAUSA300_RS15205,NC_007793.1,854460,854821,+,362,tmRNA,GCF_000013465.1,SAUSA300_0766,NA,NA
SAUSA300_RS04130,NC_007793.1,855143,855424,+,282,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04135,NC_007793.1,855691,856014,-,324,protein_coding,GCF_000013465.1,SAUSA300_0767,hypothetical protein,NA
SAUSA300_RS04140,NC_007793.1,856030,856176,-,147,protein_coding,GCF_000013465.1,SAUSA300_0768,hypothetical protein,NA
SAUSA300_RS04145,NC_007793.1,856368,857096,-,729,protein_coding,GCF_000013465.1,SAUSA300_0769,DUF5067 domain-containing protein,NA
SAUSA300_RS04150,NC_007793.1,857532,857687,+,156,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04155,NC_007793.1,857695,858138,+,444,protein_coding,GCF_000013465.1,SAUSA300_0770,hypothetical protein,NA
SAUSA300_RS04160,NC_007793.1,858355,858885,+,531,protein_coding,GCF_000013465.1,SAUSA300_0771,N-acetyltransferase,NA
SAUSA300_RS04165,NC_007793.1,859148,861949,+,2802,protein_coding,GCF_000013465.1,SAUSA300_0772,MSCRAMM family adhesin clumping factor ClfA,clfA
SAUSA300_RS04170,NC_007793.1,862170,863696,+,1527,protein_coding,GCF_000013465.1,SAUSA300_0773,von Willebrand factor binding protein Vwb,vwb
SAUSA300_RS04175,NC_007793.1,864047,865069,+,1023,protein_coding,GCF_000013465.1,SAUSA300_0774,extracellular matrix protein-binding adhesin Emp,emp
SAUSA300_RS04180,NC_007793.1,865404,865874,+,471,protein_coding,GCF_000013465.1,SAUSA300_0775,hypothetical protein,NA
SAUSA300_RS04185,NC_007793.1,866215,866901,+,687,protein_coding,GCF_000013465.1,SAUSA300_0776,thermonuclease family protein,NA
SAUSA300_RS04190,NC_007793.1,867258,867458,+,201,protein_coding,GCF_000013465.1,SAUSA300_0777,cold-shock protein,NA
SAUSA300_RS04195,NC_007793.1,867954,868172,-,219,protein_coding,GCF_000013465.1,SAUSA300_0778,hypothetical protein,NA
SAUSA300_RS04200,NC_007793.1,868234,868518,-,285,protein_coding,GCF_000013465.1,SAUSA300_0779,hypothetical protein,NA
SAUSA300_RS04205,NC_007793.1,868606,869175,-,570,protein_coding,GCF_000013465.1,SAUSA300_0780,hypothetical protein,NA
SAUSA300_RS04210,NC_007793.1,869363,869551,-,189,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04215,NC_007793.1,869580,869840,-,261,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04220,NC_007793.1,870181,870384,+,204,protein_coding,GCF_000013465.1,SAUSA300_0782,hypothetical protein,NA
SAUSA300_RS04225,NC_007793.1,870381,870617,-,237,protein_coding,GCF_000013465.1,SAUSA300_0781,hypothetical protein,NA
SAUSA300_RS04230,NC_007793.1,870863,871423,+,561,protein_coding,GCF_000013465.1,SAUSA300_0783,histidine phosphatase family protein,NA
SAUSA300_RS04235,NC_007793.1,871496,872113,-,618,protein_coding,GCF_000013465.1,SAUSA300_0784,amino acid transporter,NA
SAUSA300_RS04240,NC_007793.1,872268,872762,-,495,protein_coding,GCF_000013465.1,SAUSA300_0785,GNAT family N-acetyltransferase,NA
SAUSA300_RS04245,NC_007793.1,873161,873583,-,423,protein_coding,GCF_000013465.1,SAUSA300_0786,organic hydroperoxide resistance protein,NA
SAUSA300_RS04250,NC_007793.1,873731,874447,+,717,protein_coding,GCF_000013465.1,SAUSA300_0787,type I 3-dehydroquinate dehydratase,NA
SAUSA300_RS04255,NC_007793.1,874530,875069,+,540,protein_coding,GCF_000013465.1,SAUSA300_0788,nitroreductase,NA
SAUSA300_RS04260,NC_007793.1,875219,875539,-,321,protein_coding,GCF_000013465.1,SAUSA300_0789,thioredoxin family protein,NA
SAUSA300_RS04265,NC_007793.1,875683,876039,+,357,protein_coding,GCF_000013465.1,SAUSA300_0790,arsenate reductase family protein,NA
SAUSA300_RS04270,NC_007793.1,876197,876577,+,381,protein_coding,GCF_000013465.1,SAUSA300_0791,glycine cleavage system protein GcvH,gcvH
SAUSA300_RS04275,NC_007793.1,876641,876754,+,114,protein_coding,GCF_000013465.1,SAUSA300_0792,hypothetical protein,NA
SAUSA300_RS04280,NC_007793.1,876756,877634,+,879,protein_coding,GCF_000013465.1,SAUSA300_0793,DUF1963 domain-containing protein,NA
SAUSA300_RS15750,NC_007793.1,877658,877900,-,243,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04290,NC_007793.1,878376,878762,+,387,protein_coding,GCF_000013465.1,SAUSA300_0794,topiosmerase,NA
SAUSA300_RS04295,NC_007793.1,878755,879051,+,297,protein_coding,GCF_000013465.1,SAUSA300_0795,thioredoxin family protein,NA
SAUSA300_RS04300,NC_007793.1,879301,880326,+,1026,protein_coding,GCF_000013465.1,SAUSA300_0796,methionine ABC transporter ATP-binding protein,NA
SAUSA300_RS04305,NC_007793.1,880319,881014,+,696,protein_coding,GCF_000013465.1,SAUSA300_0797,ABC transporter permease,NA
SAUSA300_RS04310,NC_007793.1,881032,881853,+,822,protein_coding,GCF_000013465.1,SAUSA300_0798,MetQ/NlpA family ABC transporter substrate-binding protein,NA
SAUSA300_RS04315,NC_007793.1,881996,883216,-,1221,protein_coding,GCF_000013465.1,SAUSA300_0799,site-specific integrase,NA
SAUSA300_RS04320,NC_007793.1,883304,884032,-,729,protein_coding,GCF_000013465.1,SAUSA300_0800,staphylococcal enterotoxin type K,sek
SAUSA300_RS04325,NC_007793.1,884056,884784,-,729,protein_coding,GCF_000013465.1,SAUSA300_0801,staphylococcal enterotoxin type Q,seq
SAUSA300_RS04330,NC_007793.1,884801,885259,-,459,protein_coding,GCF_000013465.1,SAUSA300_0802,ImmA/IrrE family metallo-endopeptidase,NA
SAUSA300_RS04335,NC_007793.1,885271,885603,-,333,protein_coding,GCF_000013465.1,SAUSA300_0803,helix-turn-helix transcriptional regulator,NA
SAUSA300_RS04340,NC_007793.1,885796,886059,+,264,protein_coding,GCF_000013465.1,SAUSA300_0804,helix-turn-helix transcriptional regulator,NA
SAUSA300_RS04345,NC_007793.1,886052,886324,+,273,protein_coding,GCF_000013465.1,SAUSA300_0805,winged helix-turn-helix domain-containing protein,NA
SAUSA300_RS15215,NC_007793.1,886336,886509,+,174,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04350,NC_007793.1,886476,886679,+,204,protein_coding,GCF_000013465.1,SAUSA300_0806,hypothetical protein,NA
SAUSA300_RS04355,NC_007793.1,886681,887064,+,384,protein_coding,GCF_000013465.1,SAUSA300_0807,hypothetical protein,NA
SAUSA300_RS04360,NC_007793.1,887065,887313,+,249,protein_coding,GCF_000013465.1,SAUSA300_0808,DUF1474 family protein,NA
SAUSA300_RS04365,NC_007793.1,887405,889777,+,2373,protein_coding,GCF_000013465.1,SAUSA300_0809,primase,NA
SAUSA300_RS04370,NC_007793.1,890448,890792,+,345,protein_coding,GCF_000013465.1,SAUSA300_0810,hypothetical protein,NA
SAUSA300_RS04375,NC_007793.1,891017,891223,+,207,protein_coding,GCF_000013465.1,SAUSA300_0811,hypothetical protein,NA
SAUSA300_RS04380,NC_007793.1,891210,892268,+,1059,protein_coding,GCF_000013465.1,SAUSA300_0812,phage capsid protein,NA
SAUSA300_RS04385,NC_007793.1,892452,892943,+,492,protein_coding,GCF_000013465.1,SAUSA300_0813,hypothetical protein,NA
SAUSA300_RS15225,NC_007793.1,892940,893095,+,156,protein_coding,GCF_000013465.1,NA,terminase,NA
SAUSA300_RS15230,NC_007793.1,893142,893225,+,84,pseudogene,GCF_000013465.1,NA,terminase small subunit,NA
SAUSA300_RS04390,NC_007793.1,893372,894340,+,969,protein_coding,GCF_000013465.1,SAUSA300_0814,Abi family protein,NA
SAUSA300_RS04395,NC_007793.1,894575,895129,-,555,protein_coding,GCF_000013465.1,SAUSA300_0815,DUF4888 domain-containing protein,NA
SAUSA300_RS15755,NC_007793.1,895381,895562,+,182,pseudogene,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04400,NC_007793.1,896163,896357,+,195,protein_coding,GCF_000013465.1,SAUSA300_0816,CsbD family protein,NA
SAUSA300_RS04405,NC_007793.1,896590,897441,-,852,protein_coding,GCF_000013465.1,SAUSA300_0817,DUF368 domain-containing protein,NA
SAUSA300_RS04410,NC_007793.1,897769,898530,+,762,protein_coding,GCF_000013465.1,SAUSA300_0818,Fe-S cluster assembly ATPase SufC,sufC
SAUSA300_RS04415,NC_007793.1,898628,899935,+,1308,protein_coding,GCF_000013465.1,SAUSA300_0819,Fe-S cluster assembly protein SufD,sufD
SAUSA300_RS04420,NC_007793.1,900050,901291,+,1242,protein_coding,GCF_000013465.1,SAUSA300_0820,cysteine desulfurase,NA
SAUSA300_RS04425,NC_007793.1,901281,901745,+,465,protein_coding,GCF_000013465.1,SAUSA300_0821,SUF system NifU family Fe-S cluster assembly protein,NA
SAUSA300_RS04430,NC_007793.1,901896,903293,+,1398,protein_coding,GCF_000013465.1,SAUSA300_0822,Fe-S cluster assembly protein SufB,sufB
SAUSA300_RS15235,NC_007793.1,903296,903526,-,231,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04435,NC_007793.1,903480,903617,+,138,protein_coding,GCF_000013465.1,NA,chorismate mutase,NA
SAUSA300_RS04440,NC_007793.1,903623,903937,-,315,protein_coding,GCF_000013465.1,SAUSA300_0823,hypothetical protein,NA
SAUSA300_RS04445,NC_007793.1,904302,905342,+,1041,protein_coding,GCF_000013465.1,SAUSA300_0824,HlyC/CorC family transporter,NA
SAUSA300_RS04450,NC_007793.1,905356,906423,+,1068,protein_coding,GCF_000013465.1,SAUSA300_0825,nitronate monooxygenase,NA
SAUSA300_RS04455,NC_007793.1,906490,906588,+,99,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04460,NC_007793.1,906636,907484,+,849,protein_coding,GCF_000013465.1,SAUSA300_0826,DUF72 domain-containing protein,NA
SAUSA300_RS04465,NC_007793.1,907497,908324,+,828,protein_coding,GCF_000013465.1,SAUSA300_0827,sulfite exporter TauE/SafE family protein,NA
SAUSA300_RS04470,NC_007793.1,908351,909670,+,1320,protein_coding,GCF_000013465.1,SAUSA300_0828,bifunctional metallophosphatase/5'-nucleotidase,NA
SAUSA300_RS04475,NC_007793.1,909754,910671,+,918,protein_coding,GCF_000013465.1,SAUSA300_0829,lipoyl synthase,lipA
SAUSA300_RS04480,NC_007793.1,910801,911184,+,384,protein_coding,GCF_000013465.1,SAUSA300_0830,YutD family protein,NA
SAUSA300_RS04485,NC_007793.1,911263,911529,-,267,protein_coding,GCF_000013465.1,SAUSA300_0831,DUF3055 domain-containing protein,NA
SAUSA300_RS04490,NC_007793.1,911627,912061,+,435,protein_coding,GCF_000013465.1,SAUSA300_0832,DUF86 domain-containing protein,NA
SAUSA300_RS04495,NC_007793.1,912061,912840,+,780,protein_coding,GCF_000013465.1,SAUSA300_0833,TIGR01457 family HAD-type hydrolase,NA
SAUSA300_RS04500,NC_007793.1,912873,913832,+,960,protein_coding,GCF_000013465.1,SAUSA300_0834,D-glycerate dehydrogenase,NA
SAUSA300_RS04505,NC_007793.1,914086,914196,+,111,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04510,NC_007793.1,914244,914396,+,153,protein_coding,GCF_000013465.1,NA,teichoic acid D-Ala incorporation-associated protein DltX,NA
SAUSA300_RS04515,NC_007793.1,914412,915869,+,1458,protein_coding,GCF_000013465.1,SAUSA300_0835,D-alanine--poly(phosphoribitol) ligase subunit DltA,dltA
SAUSA300_RS04520,NC_007793.1,915866,917080,+,1215,protein_coding,GCF_000013465.1,SAUSA300_0836,PG:teichoic acid D-alanyltransferase DltB,dltB
SAUSA300_RS04525,NC_007793.1,917098,917334,+,237,protein_coding,GCF_000013465.1,SAUSA300_0837,D-alanine--poly(phosphoribitol) ligase subunit 2,dltC
SAUSA300_RS04530,NC_007793.1,917331,918506,+,1176,protein_coding,GCF_000013465.1,SAUSA300_0838,D-alanyl-lipoteichoic acid biosynthesis protein DltD,dltD
SAUSA300_RS04535,NC_007793.1,918769,919011,-,243,protein_coding,GCF_000013465.1,SAUSA300_0839,NifU family protein,NA
SAUSA300_RS04540,NC_007793.1,919112,919435,+,324,protein_coding,GCF_000013465.1,SAUSA300_0840,YuzD family protein,NA
SAUSA300_RS04545,NC_007793.1,919494,920558,-,1065,protein_coding,GCF_000013465.1,SAUSA300_0841,NAD(P)/FAD-dependent oxidoreductase,NA
SAUSA300_RS04550,NC_007793.1,920875,921111,+,237,protein_coding,GCF_000013465.1,SAUSA300_0842,YuzB family protein,NA
SAUSA300_RS04555,NC_007793.1,921124,921483,+,360,protein_coding,GCF_000013465.1,SAUSA300_0843,iron-sulfur cluster assembly accessory protein,NA
SAUSA300_RS04560,NC_007793.1,921937,923145,+,1209,protein_coding,GCF_000013465.1,SAUSA300_0844,NADH dehydrogenase,NA
SAUSA300_RS04565,NC_007793.1,923276,924751,+,1476,protein_coding,GCF_000013465.1,SAUSA300_0845,cytosol aminopeptidase,NA
SAUSA300_RS04570,NC_007793.1,925162,926478,+,1317,protein_coding,GCF_000013465.1,SAUSA300_0846,Na+/H+ antiporter family protein,NA
SAUSA300_RS04575,NC_007793.1,926497,926871,+,375,protein_coding,GCF_000013465.1,SAUSA300_0847,PaaI family thioesterase,NA
SAUSA300_RS04580,NC_007793.1,926927,928081,-,1155,protein_coding,GCF_000013465.1,SAUSA300_0848,SidA/IucD/PvdA family monooxygenase,NA
SAUSA300_RS04585,NC_007793.1,928330,928686,-,357,protein_coding,GCF_000013465.1,SAUSA300_0849,Na+/H+ antiporter subunit G1,NA
SAUSA300_RS04590,NC_007793.1,928664,928957,-,294,protein_coding,GCF_000013465.1,SAUSA300_0850,Na(+)/H(+) antiporter subunit F1,NA
SAUSA300_RS04595,NC_007793.1,928957,929436,-,480,protein_coding,GCF_000013465.1,SAUSA300_0851,Na+/H+ antiporter subunit E,NA
SAUSA300_RS04600,NC_007793.1,929438,930934,-,1497,protein_coding,GCF_000013465.1,SAUSA300_0852,Na+/H+ antiporter subunit D,NA
SAUSA300_RS04605,NC_007793.1,930927,931256,-,330,protein_coding,GCF_000013465.1,SAUSA300_0853,Na(+)/H(+) antiporter subunit C,NA
SAUSA300_RS04610,NC_007793.1,931268,931696,-,429,protein_coding,GCF_000013465.1,SAUSA300_0854,Na(+)/H(+) antiporter subunit B,NA
SAUSA300_RS04615,NC_007793.1,931689,934094,-,2406,protein_coding,GCF_000013465.1,SAUSA300_0855,Na+/H+ antiporter subunit A,NA
SAUSA300_RS04620,NC_007793.1,934225,934608,-,384,protein_coding,GCF_000013465.1,SAUSA300_0856,kinase,NA
SAUSA300_RS04625,NC_007793.1,934672,935265,+,594,protein_coding,GCF_000013465.1,SAUSA300_0857,peptidyl-prolyl cis-trans isomerase,NA
SAUSA300_RS04630,NC_007793.1,935681,936058,+,378,protein_coding,GCF_000013465.1,SAUSA300_0858,S1 RNA-binding domain-containing protein,NA
SAUSA300_RS04635,NC_007793.1,936420,937547,+,1128,protein_coding,GCF_000013465.1,SAUSA300_0859,NADH-dependent flavin oxidoreductase,NA
SAUSA300_RS04640,NC_007793.1,937855,939045,+,1191,protein_coding,GCF_000013465.1,SAUSA300_0860,ornithine--oxo-acid transaminase,NA
SAUSA300_RS04645,NC_007793.1,939154,940398,+,1245,protein_coding,GCF_000013465.1,SAUSA300_0861,Glu/Leu/Phe/Val dehydrogenase,NA
SAUSA300_RS15760,NC_007793.1,940636,940815,+,180,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS04655,NC_007793.1,940901,941830,-,930,protein_coding,GCF_000013465.1,SAUSA300_0862,glycerophosphodiester phosphodiesterase,NA
SAUSA300_RS04660,NC_007793.1,942072,943451,-,1380,protein_coding,GCF_000013465.1,SAUSA300_0863,argininosuccinate lyase,argH
SAUSA300_RS04665,NC_007793.1,943441,944646,-,1206,protein_coding,GCF_000013465.1,SAUSA300_0864,argininosuccinate synthase,NA
SAUSA300_RS04670,NC_007793.1,944997,946328,+,1332,protein_coding,GCF_000013465.1,SAUSA300_0865,glucose-6-phosphate isomerase,NA
SAUSA300_RS04675,NC_007793.1,946653,947228,+,576,protein_coding,GCF_000013465.1,SAUSA300_0866,TVP38/TMEM64 family protein,NA
SAUSA300_RS04680,NC_007793.1,947233,947757,+,525,protein_coding,GCF_000013465.1,SAUSA300_0867,signal peptidase I,lepB
SAUSA300_RS04685,NC_007793.1,947773,948348,+,576,protein_coding,GCF_000013465.1,SAUSA300_0868,signal peptidase I,lepB
SAUSA300_RS04690,NC_007793.1,948508,951984,+,3477,protein_coding,GCF_000013465.1,SAUSA300_0869,helicase-exonuclease AddAB subunit AddB,addB
SAUSA300_RS04695,NC_007793.1,951985,955638,+,3654,protein_coding,GCF_000013465.1,SAUSA300_0870,helicase-exonuclease AddAB subunit AddA,addA
SAUSA300_RS04700,NC_007793.1,955804,956706,+,903,protein_coding,GCF_000013465.1,SAUSA300_0871,fumarylacetoacetate hydrolase family protein,NA
SAUSA300_RS04705,NC_007793.1,957035,957424,+,390,protein_coding,GCF_000013465.1,SAUSA300_0872,YisL family protein,NA
SAUSA300_RS04710,NC_007793.1,957595,958911,-,1317,protein_coding,GCF_000013465.1,SAUSA300_0873,CoA-disulfide reductase,NA
SAUSA300_RS04715,NC_007793.1,958963,959787,-,825,protein_coding,GCF_000013465.1,SAUSA300_0874,Cof-type HAD-IIB family hydrolase,NA
SAUSA300_RS04720,NC_007793.1,959901,960209,+,309,protein_coding,GCF_000013465.1,SAUSA300_0875,metal-sulfur cluster assembly factor,NA
SAUSA300_RS04725,NC_007793.1,960756,962570,+,1815,protein_coding,GCF_000013465.1,SAUSA300_0876,O-acetyltransferase,NA
SAUSA300_RS04730,NC_007793.1,962773,965382,+,2610,protein_coding,GCF_000013465.1,SAUSA300_0877,ATP-dependent chaperone ClpB,clpB
SAUSA300_RS04735,NC_007793.1,965441,966310,-,870,protein_coding,GCF_000013465.1,SAUSA300_0878,LysR family transcriptional regulator,NA
SAUSA300_RS04740,NC_007793.1,966420,967565,+,1146,protein_coding,GCF_000013465.1,SAUSA300_0879,2-isopropylmalate synthase,NA
SAUSA300_RS04745,NC_007793.1,967549,968190,+,642,protein_coding,GCF_000013465.1,SAUSA300_0880,L-threonylcarbamoyladenylate synthase,NA
SAUSA300_RS04750,NC_007793.1,968183,969301,+,1119,protein_coding,GCF_000013465.1,SAUSA300_0881,membrane protein,NA
SAUSA300_RS04755,NC_007793.1,969285,969800,+,516,protein_coding,GCF_000013465.1,SAUSA300_0882,YbhB/YbcL family Raf kinase inhibitor-like protein,NA
SAUSA300_RS04760,NC_007793.1,970111,970545,+,435,protein_coding,GCF_000013465.1,SAUSA300_0883,MAP domain-containing protein,NA
SAUSA300_RS04765,NC_007793.1,970802,970987,-,186,protein_coding,GCF_000013465.1,SAUSA300_0884,YjzD family protein,NA
SAUSA300_RS04770,NC_007793.1,971282,972223,+,942,protein_coding,GCF_000013465.1,SAUSA300_0885,ketoacyl-ACP synthase III,NA
SAUSA300_RS04775,NC_007793.1,972235,973479,+,1245,protein_coding,GCF_000013465.1,SAUSA300_0886,beta-ketoacyl-ACP synthase II,fabF
SAUSA300_RS04780,NC_007793.1,973534,973906,-,373,pseudogene,GCF_000013465.1,NA,DUF3899 domain-containing protein,NA
SAUSA300_RS04785,NC_007793.1,974149,975075,+,927,protein_coding,GCF_000013465.1,SAUSA300_0887,ABC transporter permease,NA
SAUSA300_RS04790,NC_007793.1,975075,976145,+,1071,protein_coding,GCF_000013465.1,SAUSA300_0888,ABC transporter permease,NA
SAUSA300_RS04795,NC_007793.1,976162,977244,+,1083,protein_coding,GCF_000013465.1,SAUSA300_0889,ABC transporter ATP-binding protein,NA
SAUSA300_RS04800,NC_007793.1,977234,978175,+,942,protein_coding,GCF_000013465.1,SAUSA300_0890,ATP-binding cassette domain-containing protein,NA
SAUSA300_RS04805,NC_007793.1,978194,979849,+,1656,protein_coding,GCF_000013465.1,SAUSA300_0891,peptide ABC transporter substrate-binding protein,NA
SAUSA300_RS04810,NC_007793.1,980061,981776,+,1716,protein_coding,GCF_000013465.1,SAUSA300_0892,ABC transporter substrate-binding protein,NA
SAUSA300_RS04815,NC_007793.1,981827,982813,+,987,protein_coding,GCF_000013465.1,SAUSA300_0893,ABC transporter ATP-binding protein,NA
SAUSA300_RS04820,NC_007793.1,982816,983796,+,981,protein_coding,GCF_000013465.1,SAUSA300_0894,dipeptide ABC transporter ATP-binding protein,NA
SAUSA300_RS04825,NC_007793.1,983789,984751,+,963,protein_coding,GCF_000013465.1,SAUSA300_0895,ABC transporter permease,NA
SAUSA300_RS04830,NC_007793.1,984763,985644,+,882,protein_coding,GCF_000013465.1,SAUSA300_0896,ABC transporter permease,NA
SAUSA300_RS04835,NC_007793.1,985686,986675,-,990,protein_coding,GCF_000013465.1,SAUSA300_0897,tryptophan--tRNA ligase,trpS
SAUSA300_RS04840,NC_007793.1,986970,987365,+,396,protein_coding,GCF_000013465.1,SAUSA300_0898,transcriptional regulator Spx,spxA
SAUSA300_RS04845,NC_007793.1,987736,988455,+,720,protein_coding,GCF_000013465.1,SAUSA300_0899,adaptor protein MecA,mecA
SAUSA300_RS15250,NC_007793.1,988576,988833,+,258,protein_coding,GCF_000013465.1,SAUSA300_0900,competence protein,NA
SAUSA300_RS04850,NC_007793.1,988839,989561,+,723,protein_coding,GCF_000013465.1,NA,competence protein,NA
SAUSA300_RS04855,NC_007793.1,989609,991417,+,1809,protein_coding,GCF_000013465.1,SAUSA300_0902,oligoendopeptidase F,pepF
SAUSA300_RS04860,NC_007793.1,991877,992683,-,807,protein_coding,GCF_000013465.1,SAUSA300_0903,DsbA family protein,NA
SAUSA300_RS04865,NC_007793.1,992706,993071,-,366,protein_coding,GCF_000013465.1,SAUSA300_0904,hypothetical protein,NA
SAUSA300_RS04870,NC_007793.1,993175,993768,-,594,protein_coding,GCF_000013465.1,SAUSA300_0905,CYTH domain-containing protein,NA
SAUSA300_RS04875,NC_007793.1,993954,994301,+,348,protein_coding,GCF_000013465.1,SAUSA300_0906,hypothetical protein,NA
SAUSA300_RS04880,NC_007793.1,994318,994953,+,636,protein_coding,GCF_000013465.1,SAUSA300_0907,GTP pyrophosphokinase family protein,NA
SAUSA300_RS04885,NC_007793.1,994970,995779,+,810,protein_coding,GCF_000013465.1,SAUSA300_0908,NAD kinase,NA
SAUSA300_RS04890,NC_007793.1,995776,996630,+,855,protein_coding,GCF_000013465.1,SAUSA300_0909,RluA family pseudouridine synthase,NA
SAUSA300_RS04895,NC_007793.1,996651,998036,+,1386,protein_coding,GCF_000013465.1,SAUSA300_0910,magnesium transporter,mgtE
SAUSA300_RS04900,NC_007793.1,998046,999890,+,1845,protein_coding,GCF_000013465.1,SAUSA300_0911,sodium:proton antiporter,NA
SAUSA300_RS04905,NC_007793.1,1000168,1000938,+,771,protein_coding,GCF_000013465.1,SAUSA300_0912,enoyl-ACP reductase FabI,fabI
SAUSA300_RS04910,NC_007793.1,1001133,1002218,-,1086,protein_coding,GCF_000013465.1,SAUSA300_0913,AI-2E family transporter,NA
SAUSA300_RS04915,NC_007793.1,1002560,1004128,+,1569,protein_coding,GCF_000013465.1,SAUSA300_0914,alanine:cation symporter family protein,NA
